alias,canonical_skill,kind
a/b testing,A/B testing,concept
agent frameworks,agent frameworks,concept
agent orchestration,agent orchestration,concept
agentic ai,AI agents,concept
agentic applications,agentic applications,concept
agentic systems,AI agents,concept
agentic workflows,AI agents,concept
agents,AI agents,concept
agile,Agile,concept
ai,AI,concept
ai agents,AI agents,concept
ai coding assistants,AI coding assistants,concept
ai coding tools,AI coding tools,tool
ai governance,AI governance,concept
ai infrastructure,AI infrastructure,concept
ai safety,AI safety,concept
airflow,Airflow,tool
algorithms,algorithms,concept
alignment,alignment,concept
amplitude,Amplitude,tool
analytics,analytics,concept
anomaly detection,anomaly detection,concept
ansible,Ansible,tool
anthropic,Anthropic,platform
apache iceberg,Iceberg,tool
apache spark,Spark,tool
api,APIs,concept
api design,API design,concept
apis,APIs,concept
artificial intelligence,AI,concept
attribution,attribution,concept
authentication,authentication,concept
autogen,AutoGen,framework
automated testing,automated testing,concept
automation,automation,concept
aws,AWS,cloud
azure,Azure,cloud
backend,backend,concept
backend systems,backend systems,concept
bash,Bash,language
batch processing,batch processing,concept
benchmarking,benchmarking,concept
bi,Business intelligence,concept
bi tools,BI tools,tool
big data,big data,concept
bigquery,BigQuery,platform
business intelligence,Business intelligence,concept
c,C,language
c#,C#,language
c++,C++,language
caching,caching,concept
causal inference,causal inference,concept
cdc,CDC,concept
chatgpt,ChatGPT,tool
chatgpt enterprise,ChatGPT Enterprise,tool
ci,CI,concept
ci/cd,CI/CD,concept
classification,classification,concept
claude,Claude,tool
claude code,Claude Code,tool
clickhouse,ClickHouse,tool
cloud,cloud,concept
cloud architecture,cloud architecture,concept
cloud architectures,cloud architectures,concept
cloud computing,cloud computing,concept
cloud infrastructure,cloud infrastructure,concept
clustering,clustering,concept
codex,Codex,tool
coding agents,coding agents,concept
cohort analysis,cohort analysis,concept
computer architecture,computer architecture,concept
computer vision,Computer vision,concept
concurrency,concurrency,concept
containerization,containerization,concept
containers,containers,concept
context engineering,context engineering,concept
copilot,Copilot,tool
cpu,CPU,concept
cpu architecture,CPU architecture,concept
crewai,CrewAI,framework
crm,CRM,tool
css,CSS,language
cuda,CUDA,language
cudnn,cuDNN,tool
cursor,Cursor,tool
cutlass,CUTLASS,tool
dagster,Dagster,tool
dashboards,dashboards,concept
data analysis,data analysis,concept
data analytics,data analytics,concept
data architecture,data architecture,concept
data contracts,data contracts,concept
data curation,data curation,concept
data engineering,data engineering,concept
data governance,Data governance,concept
data infrastructure,data infrastructure,concept
data integration,data integration,concept
data lake,data lake,concept
data lakes,data lakes,concept
data lineage,data lineage,concept
data mesh,data mesh,concept
data mining,data mining,concept
data modeling,Data modeling,concept
data modelling,Data modeling,concept
data pipelines,Data pipelines,concept
data platforms,data platforms,concept
data privacy,data privacy,concept
data processing,data processing,concept
data processing pipelines,data processing pipelines,concept
data quality,Data quality,concept
data science,data science,concept
data structures,data structures,concept
data transformation,data transformation,concept
data visualization,data visualization,concept
data warehouse,Data warehouse,concept
data warehousing,Data warehouse,concept
databases,databases,concept
databricks,Databricks,platform
datadog,Datadog,tool
dbt,dbt,tool
debugging,debugging,concept
deep learning,Deep learning,concept
deepspeed,DeepSpeed,framework
delta lake,Delta Lake,tool
deployment,deployment,concept
developer tools,developer tools,concept
devops,DevOps,concept
difference-in-differences,difference-in-differences,concept
diffusion models,diffusion models,concept
distillation,distillation,concept
distributed computing,Distributed systems,concept
distributed systems,Distributed systems,concept
distributed training,distributed training,concept
docker,Docker,tool
dpo,DPO,concept
dynamo,Dynamo,tool
dynamodb,DynamoDB,tool
